# CSV-File created with merge-csv.com
# -----------------------------------------------------------

fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Aug,04,ASSAM,0414,GOLAGHAT,1387280,248.236213904748,31,37,141.9665992,2834,1,19024,936342,16455,12775,46252,29281,0,2466.3065292,30148,43174,123755,233013,21,223217,392980,21858,2324.33993,494266,90,14.58,18.32,100.1,NA
2025-2026,Aug,04,ASSAM,0419,KARBI ANGLONG,841528,248.550259317711,25,29,794.252714366004,3558,1,15177,1018249,42519,7577,818013,112919,0,3325.113244366,39928,48965,87033,150722,13,158134,255064,18735,2530.86053,626455,85,35.36,67.32,101.07,NA
2025-2026,Aug,04,ASSAM,0426,KAMRUP (METRO),111551,256.712197064512,26,0,85.492888593,150,0,1728,52734,16477,7928,5026,8670,0,220.867498593,1955,2263,15060,31521,0,52134,96638,1878,135.37461,29281,85,36.63,40.67,100,NA
2025-2026,Aug,04,ASSAM,0432,MAJULI,608749,250.195867169926,19,10,0,1399,0,1137,131145,14228,5186,48061,21915,0,328.11937,6678,9255,26655,44537,4,39679,60015,2536,328.11937,60065,84,24,37.84,100.52,NA
2025-2026,Aug,04,ASSAM,0433,BAJALI,309319,253.851122789237,38,21,0,547,2,5166,282199,2195,1738,1574,1391,0,716.36533,7260,11181,34370,66916,25,64567,115019,5713,716.36533,127260,86,8.68,11.65,100.1,NA
2025-2026,Aug,04,ASSAM,0434,WEST KARBI ANGLONG,425984,241.313637150274,30,4,243.91991228,1241,0,6724,346700,9110,1552,275491,39194,0,1080.55429228,11212,14121,27079,53249,16,66162,118518,7965,836.63438,225843,92,42.2,43.48,100.09,NA
2025-2026,July,04,ASSAM,0411,DHEMAJI,771115,236.117821683471,21,80,4.476357,12273,4,11901,882700,48096,14439,318360,124193,0,2088.688369,41088,63349,122649,267676,17,207071,409542,24174,2084.212012,508725,85,54.51,55.94,100,NA
2025-2026,July,04,ASSAM,0420,Dima Hasao,203639,248.415326760722,25,4,147.1991398,2587,0,3596,159551,758,495,153510,36560,0,543.5482778,6343,8105,18862,39525,0,36095,71661,6183,396.349138,70395,88,39.73,41.65,100,NA
2025-2026,July,04,ASSAM,0424,BAKSA,479731,242.516849286748,22,109,620.750057677001,3298,0,12387,1093162,41002,7158,524088,73021,0,3271.852097677,49407,64305,100068,162903,6,158248,243381,15685,2651.10204,670303,88,66.19,73.59,100.16,NA
2025-2026,July,04,ASSAM,0428,Biswanath,1130486,246.719242561694,22,235,880.456542792,3751,4,11310,870830,46118,11551,188872,34982,0,3028.961722792,38020,55372,83980,139176,38,127891,192987,15061,2148.50518,503721,89,40.25,42.57,100.01,NA
2025-2026,July,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,553822,200.605676028835,19,9,2.1706236,1285,0,5296,136222,178,908,24,685,0,275.4396876,6835,7585,73275,96117,0,143182,175889,6581,273.269064,67888,85,11.63,14.12,101.29,NA
2025-2026,July,04,ASSAM,0432,MAJULI,477635,249.088632624652,19,8,0,1384,0,1178,126432,13736,5176,46341,21914,0,314.92774,6428,8892,26631,44500,3,39667,59995,2562,314.92774,57908,84,23.16,36.92,100.54,NA
2025-2026,July,04,ASSAM,0434,WEST KARBI ANGLONG,334233,242.417094027432,30,4,243.91991228,1230,0,6702,330712,8937,1554,261266,38930,0,1045.62233228,10759,13581,26913,52982,15,66091,118380,7932,801.70242,215530,92,42.02,43.26,100.09,NA
2025-2026,Aug,04,ASSAM,0401,DHUBRI,1461691,243.126733894968,28,71,702.782633941,1286,3,22358,1330640,11543,2491,612,285,0,3937.924205841,46211,70617,179513,330938,23,380967,650876,23644,3235.1415719,654649,78,14.97,31.65,100.11,NA
2025-2026,Aug,04,ASSAM,0421,Sribhumi,1187079,247.375239843554,25,30,1424.236059437,4933,4,13829,855245,68075,19593,5260,1643,0,3539.900429437,33324,40373,116344,156827,44,225138,280972,18762,2115.66437,411344,92,33.74,35.7,100.08,NA
2025-2026,Aug,04,ASSAM,0430,CHARAIDEO,381574,248.526981433809,22,20,245.454776303001,620,0,4876,205104,2123,1130,3061,1910,0,755.193556303001,9155,11860,41949,72226,15,87862,135844,5496,509.73878,116490,77,32.6,38.39,100.2,NA
2025-2026,Aug,04,ASSAM,0433,BAJALI,309319,255.799258312481,38,20,0,544,2,5175,277745,2171,1738,1574,1391,0,710.46965,7250,11158,34363,66902,23,64549,114985,5719,710.46965,125584,86,8.82,11.83,100.1,NA
2025-2026,Aug,04,ASSAM,0404,GOALPARA,727443,245.242436438018,26,43,1067.543188584,3720,6,8064,541676,8888,6115,74511,44947,0,2395.962608584,20600,31413,101337,207540,14,228749,405834,11784,1328.41942,264297,83,31.97,33.46,100.04,NA
2025-2026,Aug,04,ASSAM,0419,KARBI ANGLONG,841528,245.974070233837,25,29,794.252714366004,3532,1,15215,1003989,41558,7577,807189,112896,0,3263.805322366,39708,48705,87016,150690,13,157907,254771,18747,2469.552608,617552,85,35.06,67.11,101.1,NA
2025-2026,Aug,04,ASSAM,0430,CHARAIDEO,381574,248.946530784562,22,20,245.454776303001,597,0,4790,203706,2111,1128,3023,1908,0,752.573796303001,9112,11807,41921,72160,15,87858,135810,5387,507.11902,115744,77,32.75,38.5,100.2,NA
2025-2026,Aug,04,ASSAM,0432,MAJULI,608749,248.48503330638,19,10,0,1384,0,1151,129855,14020,5179,47173,21915,0,322.67024,6590,9129,26650,44528,4,39675,60008,2535,322.67024,59516,84,24.19,37.83,100.53,NA
2025-2026,Aug,04,ASSAM,0411,DHEMAJI,982794,237.285090127067,22,85,4.476357,12792,4,11604,935568,49791,14433,335986,123737,0,2224.439729,42187,65062,122658,267190,21,207886,410198,24396,2219.963372,539562,85,55,56.33,100,NA
2025-2026,Aug,04,ASSAM,0413,NAGAON,1589766,244.272722439137,25,291,0,3711,3,29578,1975945,76758,18317,38572,11239,0,4826.6946454,77094,109826,233818,382736,14,426632,628498,33289,4826.6946454,992886,87,16.92,29.37,100.43,NA
2025-2026,Aug,04,ASSAM,0417,DIBRUGARH,1186288,244.230331607462,19,52,0,967,6,10013,557979,10130,7089,27376,22778,0,1362.753962,28479,36431,115921,206442,70,210054,334530,10980,1362.753962,328076,74,38.93,40.47,100.63,NA
2025-2026,Aug,04,ASSAM,0418,TINSUKIA,1620941,246.458668100892,26,25,613.554840141,3329,1,12753,652617,5002,2749,38802,16548,0,2221.986006141,24598,31423,105629,171919,7,212546,304060,16082,1608.431166,406344,83,28.06,31.89,100.02,NA
2025-2026,Aug,04,ASSAM,0407,KAMRUP,1307207,245.271443804375,29,71,459.29613383,5995,4,19532,1556776,53675,19217,72174,36575,0,4277.62310583,52452,73705,151351,287942,48,385787,671194,25527,3818.326972,802652,89,33.08,45.05,100.02,NA
2025-2026,Aug,04,ASSAM,0410,LAKHIMPUR,964453,241.723140713055,23,84,863.259561001001,6280,3,16463,1335633,51660,14404,461469,78346,0,4091.793597001,56243,93561,131904,278120,77,234385,450437,22743,3228.534036,703694,88,35.9,48.94,100.1,NA
2025-2026,Aug,04,ASSAM,0416,SIVASAGAR,1165831,241.653695085656,31,108,0,3151,0,14761,691486,13199,7997,56357,14132,0,1671.00147,21946,33106,81008,157138,5,128474,227475,17912,1671.00147,382363,87,15.49,18.65,100.01,NA
2025-2026,Aug,04,ASSAM,0432,MAJULI,608749,250.063065128609,19,11,0,1506,0,1015,139570,14726,5186,53080,21964,0,349.01302,7044,9801,26690,44606,4,39730,60102,2521,349.01302,64258,83,24.75,38.16,100.53,NA
2025-2026,Aug,04,ASSAM,0401,DHUBRI,1461691,243.20643520259,29,73,702.782633941,1877,3,22893,1391159,11713,2493,667,288,0,4086.170845841,46762,71581,179916,331867,24,381402,651829,24770,3383.3882119,682562,78,14.53,30.72,100.11,NA
2025-2026,Aug,04,ASSAM,0403,BONGAIGAON,487923,244.921495682908,32,26,17.07239756,1325,1,6657,381391,6095,8887,2656,1763,0,951.18093916,11812,18353,75984,152280,9,162377,313792,7982,934.1085416,174929,87,10.78,13,100.09,NA
2025-2026,Aug,04,ASSAM,0410,LAKHIMPUR,964453,241.479721363866,23,84,863.259561001001,6192,3,16467,1323590,51616,14404,459117,78306,0,4059.461005001,56095,93323,131846,277986,75,234350,450344,22659,3196.201444,697282,88,36.31,49.46,100.1,NA
2025-2026,Aug,04,ASSAM,0421,Sribhumi,1187079,249.029900093114,26,30,1424.236059437,5250,4,13578,889228,70077,19610,5452,1643,0,3638.679659437,33741,40899,116527,157097,48,225215,281137,18828,2214.4436,424621,92,32.62,34.52,100.12,NA
2025-2026,Aug,04,ASSAM,0423,CACHAR,1906271,250.060673845615,35,33,734.097873762,4089,16,23512,1232864,26642,11825,7352,2668,0,3817.005899762,35156,38595,130946,170611,2,366906,447100,27601,3082.908026,548648,88,13.42,18.94,100.72,NA
2025-2026,Aug,04,ASSAM,0430,CHARAIDEO,381574,247.224551593493,24,20,245.454776303001,706,0,5016,236493,2400,1134,3299,1911,0,830.123535103001,9671,12570,42222,72720,18,88072,136259,5722,584.6687588,135557,78,29.25,34.51,100.17,NA
2025-2026,Aug,04,ASSAM,0432,MAJULI,608749,250.4711016974,19,11,0,1487,0,1065,136444,14441,5186,51510,21957,0,341.75279,6900,9598,26682,44590,4,39724,60092,2552,341.75279,62699,84,24.07,37.46,100.55,NA
2025-2026,Aug,04,ASSAM,0433,BAJALI,309319,256.698728600688,41,21,0,748,2,5138,310524,2324,1738,1868,1391,0,797.11116,7435,11511,34500,67170,30,64650,115230,5886,797.11116,139857,86,8.17,10.87,100.14,NA
2025-2026,Aug,04,ASSAM,0408,DARRANG,964383,247.977610951734,32,72,1550.381026682,2980,5,11834,1481117,25481,6331,3911,922,0,5223.219578682,46240,74946,133670,251684,54,226760,389393,14814,3672.838552,723751,87,31.3,44.09,100.03,NA
2025-2026,Aug,04,ASSAM,0410,LAKHIMPUR,964453,241.770985620701,23,84,863.259561001001,6503,3,16319,1342555,51688,14404,464438,78397,0,4109.168017001,56331,93739,131930,278180,78,234398,450481,22822,3245.908456,707208,88,35.67,48.62,100.1,NA
2025-2026,July,04,ASSAM,0405,BARPETA,937691,248.500358550836,40,322,1.302429,1993,5,17770,930412,7190,8360,1799,1973,0,2313.379585,23256,34892,150438,256807,5,268894,437645,19763,2312.077156,409651,89,8.71,13.5,100.3,NA
2025-2026,July,04,ASSAM,0408,DARRANG,756670,247.134715310481,29,70,1550.381026682,1941,5,12576,1347345,24919,6329,3446,919,0,4880.138256682,45375,73239,133201,250664,30,226335,388512,14517,3329.75723,660755,87,35.1,49.56,100.01,NA
2025-2026,July,04,ASSAM,0409,SONITPUR,933831,245.571998808777,22,20,0,1541,12,15656,940210,18154,5838,11907,8683,0,2308.89249,42608,48343,140073,183124,15,267831,331305,17197,2308.89249,539475,86,43.96,54.48,100.16,NA
2025-2026,July,04,ASSAM,0412,Morigaon,522091,252.37737631173,22,26,0,3068,0,13029,650001,61974,24892,62195,30647,0,1640.45546980001,29379,43855,108759,197030,1,190424,311043,16097,1640.45546980001,334135,86,25.58,40.71,100.36,NA
2025-2026,July,04,ASSAM,0414,GOLAGHAT,1088480,245.221281490593,29,36,141.9665992,2653,1,19156,878040,15658,12771,44621,29275,0,2295.1075392,29307,41986,123538,232593,17,223093,392678,21809,2153.14094,463411,90,14.59,18.48,100.09,NA
2025-2026,July,04,ASSAM,0424,BAKSA,479731,243.562865313904,22,109,620.750057677001,3338,0,12367,1101450,41129,7160,528331,73031,0,3303.473237677,49490,64434,100089,162943,6,158278,243438,15705,2682.72318,675385,88,66.42,73.75,100.16,NA
2025-2026,July,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,553822,204.725847935416,20,9,2.1706236,1315,0,5293,144557,186,908,24,685,0,298.1161676,7135,7985,73318,96187,0,143245,175956,6608,295.945544,72075,85,12.37,15.16,101.19,NA
2025-2026,Sep,04,ASSAM,0401,DHUBRI,1799009,243.7709991931,32,75,702.782633941,3916,3,23152,1577643,12536,2496,753,287,0,4548.618738741,49079,75714,181133,334138,32,382445,653301,27068,3845.8361048,774040,77,14.2,28.59,100.1,NA
2025-2026,Sep,04,ASSAM,0405,BARPETA,1470892,250.893317692474,47,333,156.986290178,3850,21,16616,1191111,11017,8400,2531,1977,0,3145.404195478,25196,38181,151294,258331,10,270210,440085,20466,2988.4179053,523167,89,8.93,13.99,100.3,NA
2025-2026,Sep,04,ASSAM,0406,NALBARI,1466727,249.832379697838,24,30,240.5463127,3396,1,9921,962597,17062,7001,7516,4126,0,2645.4253047,38776,54088,114311,200604,21,182263,301215,13317,2404.878992,497314,81,32.19,37.4,101.38,NA
2025-2026,Sep,04,ASSAM,0408,DARRANG,1186933,248.757007632056,33,72,1550.381026682,4077,5,10847,1575067,26712,6341,4280,923,0,5468.470564082,47056,76255,134040,252407,83,227357,390521,14924,3918.0895374,771253,87,29.71,41.78,100.03,NA
2025-2026,Sep,04,ASSAM,0412,Morigaon,818967,250.962794631504,25,30,111.277127,4417,0,12619,811624,73229,25054,74395,30712,0,2148.1513993,32234,48258,109570,198692,10,191273,312754,17036,2036.8742723,418913,86,24.68,37.69,100.61,NA
2025-2026,Sep,04,ASSAM,0413,NAGAON,1956635,243.899436462602,28,365,418.179362388999,6296,3,29659,2394393,88418,18396,42483,11261,0,6258.090396089,82930,118203,236360,387097,83,429265,633119,35955,5839.9110337,1190988,88,15.51,26.9,100.59,NA
2025-2026,Sep,04,ASSAM,0430,CHARAIDEO,469630,248.269642111094,29,23,245.454776303001,1132,0,4758,299674,3024,1139,3937,1920,0,989.454343603001,10300,13550,42467,73248,35,88348,136820,5890,743.9995673,173334,78,24.36,28.99,100.14,NA
2025-2026,Sep,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,868741,230.000353397418,23,11,7.938088102,2459,0,5833,279006,420,913,411,688,0,649.652874102,12084,13574,74720,98229,0,145547,178742,8292,641.714786,145084,88,17.83,22.29,102.93,NA
2025-2026,Sep,04,ASSAM,0406,NALBARI,1466727,249.861858746024,24,30,304.425737845,3437,1,9912,969955,17165,7001,7572,4126,0,2727.973329845,38838,54210,114345,200693,23,182658,301711,13349,2423.547592,500798,81,31.99,37.17,101.37,NA
2025-2026,Sep,04,ASSAM,0411,DHEMAJI,1209592,240.541645803744,23,85,581.389316608,13973,4,10851,996984,52400,14316,348929,119637,0,2979.551038608,43102,66522,121489,261270,33,206269,404000,24824,2398.161722,576635,85,53.57,54.89,100.03,NA
2025-2026,Sep,04,ASSAM,0414,GOLAGHAT,1707421,250.865199083814,39,44,758.701400588,6096,1,16249,1349507,21901,12829,58574,29443,0,4144.144822788,33919,49332,124949,235900,82,224320,395365,22345,3385.4434222,712872,90,13.26,17.42,100.78,NA
2025-2026,Sep,04,ASSAM,0415,JORHAT,1170095,254.273590914692,29,19,0,2598,1,7103,527445,10640,7752,27937,11199,0,1341.1533416,18135,20845,84805,131439,56,174849,246555,9701,1341.1533416,338762,83,23.23,27.73,100.85,NA
2025-2026,Sep,04,ASSAM,0416,SIVASAGAR,1434870,244.217247420268,35,109,139.100056414,4812,0,13466,816267,14277,8016,61380,14171,0,2132.564855414,23109,34923,81350,157835,11,128788,228189,18278,1993.464799,452094,87,14.21,17.02,100.01,NA
2025-2026,Sep,04,ASSAM,0418,TINSUKIA,1995004,247.770248442087,31,34,613.554840141,4429,1,12745,861730,6367,2762,48196,16697,0,2748.665402041,27415,35198,106777,174152,13,214884,307547,17174,2135.1105619,537864,84,23.84,26.8,100.04,NA
2025-2026,Sep,04,ASSAM,0427,UDALGURI,1140829,246.044380127517,26,40,1630.822938819,4706,0,13765,1704407,62671,11473,703562,107948,0,5824.420576819,65019,89315,140718,266887,56,258268,440254,18471,4193.597638,1009408,86,56.42,66.09,100.03,NA
2025-2026,Sep,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,868741,228.931532959895,22,11,7.938088102,2766,0,5835,286348,436,914,417,688,0,663.478954102,12457,13983,74773,98299,0,147468,180761,8601,655.540866,149338,88,18.86,23.21,102.86,NA
2025-2026,Sep,04,ASSAM,0434,WEST KARBI ANGLONG,524288,242.405426663412,35,5,243.91991228,4498,0,5293,458816,12210,1597,357773,39786,0,1356.11479468,12903,16379,27808,54044,45,66573,118596,9791,1112.1948824,299351,93,40.26,42.32,100.19,NA
2025-2026,Sep,04,ASSAM,0408,DARRANG,1186933,249.213572308871,33,72,1550.381026682,3919,5,11023,1563591,26280,6335,4265,923,0,5447.062014082,46758,75855,133926,252224,80,227240,390330,14942,3896.6809874,764639,87,29.81,41.83,100.03,NA
2025-2026,Sep,04,ASSAM,0411,DHEMAJI,1209592,240.511504188693,23,85,384.314186394,13948,4,10862,997089,52409,14318,348894,119686,0,2782.427938394,43120,66541,121505,261335,33,205747,403211,24810,2398.113752,576617,85,53.58,54.9,100.03,NA
2025-2026,Sep,04,ASSAM,0415,JORHAT,1170095,254.44237763113,28,19,0,2561,1,7157,519311,10522,7746,27731,11191,0,1321.3472557,17940,20619,84775,131360,55,174714,246334,9718,1321.3472557,333508,83,23.07,27.56,100.86,NA
2025-2026,Sep,04,ASSAM,0418,TINSUKIA,1995004,246.542379249583,31,34,613.554840141,4242,1,12908,851260,6219,2762,47766,16688,0,2712.271497741,27254,35018,106736,174040,12,214325,306835,17150,2098.7166576,530602,84,23.73,26.75,100.04,NA
2025-2026,Sep,04,ASSAM,0421,Sribhumi,1461020,250.040785147208,28,30,1424.236059437,5803,4,13270,969003,77113,19612,5631,1645,0,3847.138768737,34380,41644,116841,157495,60,225383,281365,19073,2422.9027093,461530,92,31.47,32.76,100.39,NA
2025-2026,Sep,04,ASSAM,0426,KAMRUP (METRO),137294,255.89791273041,29,0,85.492888593,1187,0,1484,67217,18882,7973,6632,8747,0,257.499788593,2303,2675,15183,31812,0,52309,97122,2671,172.0069,38359,88,35.24,39.18,100,NA
2025-2026,Sep,04,ASSAM,0428,Biswanath,1773320,248.619588945509,26,248,880.456542792,4961,4,11587,1126420,58273,11614,231734,35182,0,3680.957316592,41949,61050,85084,141085,118,129234,195245,16548,2800.5007738,656953,90,34.95,37.28,100.07,NA
2025-2026,Sep,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,868741,230.21316524898,23,11,7.938088102,2459,0,5824,278035,420,913,411,688,0,648.011262102,11984,13469,74688,98194,0,145507,178701,8283,640.073174,144485,88,17.57,22.05,102.94,NA
2025-2026,Sep,04,ASSAM,0434,WEST KARBI ANGLONG,524288,242.124643695316,35,5,243.91991228,4498,0,5308,452941,12100,1595,353655,39750,0,1340.60169468,12887,16346,27801,54009,45,66310,118165,9806,1096.6817824,295432,93,40.68,42.71,100.19,NA
2025-2026,Sep,04,ASSAM,0435,TAMULPUR,430688,243.891911307107,26,11,335.849533805,2473,0,9796,541509,66124,15024,183353,45898,0,1656.546183805,20395,28714,59730,115797,1,121451,204445,12269,1320.69665,316178,91,48.8,46.71,100.03,NA
2025-2026,Sep,04,ASSAM,0402,KOKRAJHAR,1342231,245.081364210946,30,165,1254.3499001,5258,0,21231,2490348,27760,5657,918321,122883,0,7357.7287521,81880,124208,156625,318526,157,266284,519993,26489,6103.378852,1359739,86,57.14,54.96,101.19,NA
2025-2026,Sep,04,ASSAM,0407,KAMRUP,1608871,245.016891208428,31,75,459.29613383,6529,4,19955,1735594,57871,19296,78821,36703,0,4711.79459663,54484,76775,152518,290462,65,386793,673370,26484,4252.4984628,893676,89,30.62,41.72,100.03,NA
2025-2026,Sep,04,ASSAM,0411,DHEMAJI,1209592,240.309811963408,23,85,384.314186394,13882,4,10923,995285,52388,14318,348470,119829,0,2776.081698394,43102,66503,121530,261484,33,205513,402908,24805,2391.767512,575529,85,53.68,55.04,100.03,NA
2025-2026,Sep,04,ASSAM,0412,Morigaon,818967,251.2608184243,25,30,50.4785853,4416,0,12615,802310,72745,25038,72430,30710,0,2066.3692576,32058,48023,109523,198594,9,191143,312496,17031,2015.8906723,414098,86,23.52,36.8,100.3,NA
2025-2026,Sep,04,ASSAM,0413,NAGAON,1956635,244.092605382762,28,353,128.09510975,6258,3,29578,2346565,86447,18364,41572,11259,0,5855.88675525,82279,117235,236087,386615,78,428981,632696,35836,5727.7916455,1166199,88,15.51,27.02,100.58,NA
2025-2026,Sep,04,ASSAM,0416,SIVASAGAR,1434870,246.707691165667,34,109,105.48075432,4149,0,14078,781338,14008,8008,60118,14145,0,2033.10169432,22810,34487,81269,157666,9,128727,228030,18227,1927.62094,432847,87,14.37,17.27,100.01,NA
2025-2026,Sep,04,ASSAM,0427,UDALGURI,1140829,246.115847621461,26,40,1622.753299219,4624,0,13849,1688873,62059,11461,699665,107931,0,5779.337398419,64924,89153,140665,266791,51,258267,440247,18473,4156.5840992,999838,86,56.54,66.36,100.03,NA
2025-2026,Sep,04,ASSAM,0430,CHARAIDEO,469630,246.162211350567,28,23,245.454776303001,1049,0,4861,286576,2879,1139,3765,1919,0,950.896595103001,10228,13432,42419,73157,27,88336,136773,5910,705.4418188,165334,79,25.14,29.94,100.14,NA
2025-2026,Sep,04,ASSAM,0433,BAJALI,380700,256.351291020059,45,23,14.8533022,903,3,5086,341784,2421,1738,1892,1391,0,891.0209987,7564,11782,34591,67388,34,64850,115679,5989,876.1676965,153579,87,7.79,10.26,100.33,NA
2025-2026,Sep,04,ASSAM,0434,WEST KARBI ANGLONG,524288,242.010698014709,34,5,243.91991228,4498,0,5298,444217,11520,1593,347820,39679,0,1318.97257468,12730,16133,27749,53915,45,66301,118143,9796,1075.0526624,289252,93,40.57,42.53,100.14,NA
2025-2026,Sep,04,ASSAM,0409,SONITPUR,1464832,246.321882305599,23,24,0,1973,12,16267,1043720,19816,5862,13252,8689,0,2570.91075,44289,50331,140650,184036,19,268756,332640,18240,2570.91075,600639,87,41.08,50.73,100.25,NA
2025-2026,Sep,04,ASSAM,0412,Morigaon,818967,251.507210331086,25,30,61.9253883,4416,0,12624,804988,72806,25038,72563,30712,0,2086.5282506,32077,48057,109527,198604,10,191186,312581,17040,2024.6028623,415450,86,23.55,36.84,100.3,NA
2025-2026,Sep,04,ASSAM,0420,Dima Hasao,319434,249.793271533601,26,6,147.1991398,2827,0,3365,203345,1637,511,193481,37696,0,655.1412678,7713,9942,19486,40745,0,36229,71854,6192,507.942128,90094,88,44.87,47.05,100.65,NA
2025-2026,Sep,04,ASSAM,0423,CACHAR,2346180,251.241790188616,38,33,734.097873762,5606,16,22996,1439960,30773,11898,7888,2679,0,4351.879155762,37728,41761,132437,172963,4,370122,451317,28602,3617.781282,643524,88,13.13,18.25,100.74,NA
2025-2026,Sep,04,ASSAM,0402,KOKRAJHAR,1342231,245.05197896756,30,165,1254.3499001,5258,0,21255,2490819,27787,5660,918618,122890,0,7358.1511521,81915,124253,156646,318569,157,266285,519996,26513,6103.801252,1360017,86,57.14,54.96,101.18,NA
2025-2026,Sep,04,ASSAM,0406,NALBARI,1466727,250.04787337599,24,30,168.1218004,3244,1,10050,948193,16938,7001,7436,4126,0,2539.0582324,38681,53880,114260,200494,21,182114,301035,13294,2370.936432,489908,81,32.32,38,101.3,NA
2025-2026,Sep,04,ASSAM,0414,GOLAGHAT,1707421,249.95026611653,38,44,674.859982588,5670,1,16644,1293982,20929,12810,55837,29415,0,3909.171435088,33477,48647,124806,235585,80,223927,394843,22314,3234.3114525,682860,90,12.65,16.56,100.8,NA
2025-2026,Sep,04,ASSAM,0420,Dima Hasao,319434,249.815632545674,26,6,147.1991398,2827,0,3365,203345,1637,511,193481,37699,0,655.1867378,7713,9942,19486,40748,0,36223,71848,6192,507.987598,90094,88,44.87,47.05,100.65,NA
2025-2026,Sep,04,ASSAM,0421,Sribhumi,1461020,249.846781054777,27,30,1424.236059437,5791,4,13277,959482,76816,19612,5631,1645,0,3821.470951237,34283,41533,116776,157418,59,225354,281331,19068,2397.2348918,457029,92,32.42,33.77,100.4,NA
2025-2026,Sep,04,ASSAM,0430,CHARAIDEO,469630,248.40567953317,28,23,245.454776303001,1049,0,4853,288242,2879,1139,3765,1919,0,961.464275103001,10231,13439,42420,73159,29,88336,136772,5902,716.0094988,166344,79,25.01,29.84,100.14,NA
2025-2026,Oct,04,ASSAM,0414,GOLAGHAT,1814135,250.492550758591,41,44,1194.351220824,7025,1,15367,1435028,22669,12834,60156,29470,0,4788.989462124,34280,49923,125082,236265,102,226140,397892,22392,3594.6382413,758182,90,13.59,17.81,100.89,NA
2025-2026,Oct,04,ASSAM,0425,CHIRANG,502196,245.272995293417,30,18,1312.185206428,2932,0,7443,963969,47679,10357,342744,74109,0,3676.540846428,31370,47287,78767,162891,106,138641,271815,10375,2364.35564,531179,81,51.31,57.01,100.49,NA
2025-2026,Oct,04,ASSAM,0427,UDALGURI,1212131,246.356421721352,26,40,1651.547538319,4845,0,13677,1709157,62754,11473,704822,107952,5.8,5867.965565119,65030,89345,140723,266915,55,258567,440706,18522,4210.6180268,1012484,86,57.08,66.47,100.03,NA
2025-2026,Oct,04,ASSAM,0435,TAMULPUR,457606,244.019961401615,26,11,351.558144305,2473,0,9794,546655,66236,15024,184122,45910,0,1685.505464305,20432,28799,59756,115866,1,121901,205028,12267,1333.94732,318969,91,48.24,46.18,100.03,NA
2025-2026,Oct,04,ASSAM,0401,DHUBRI,1911448,244.09875602437,33,78,1279.830058762,4274,3,23197,1696858,12815,2502,759,287,0,5421.839328262,50287,77662,181698,336012,38,422886,709359,27471,4142.0092695,835215,77,17.23,29.88,100.18,NA
2025-2026,Oct,04,ASSAM,0409,SONITPUR,1556385,246.234945285427,24,26,289.125038163,2321,12,16108,1118532,21164,5895,14358,8718,0,3043.341696363,45450,51691,141072,184838,22,274892,339750,18429,2754.2166582,645802,87,38.88,48.14,100.3,NA
2025-2026,Oct,04,ASSAM,0416,SIVASAGAR,1524550,246.257926786213,37,117,963.736292345001,5290,0,13166,895050,15290,8031,64681,14147,0,3167.867866045,23922,36163,81546,158411,17,131211,231678,18456,2204.1315737,496847,87,13.77,16.52,100.04,NA
2025-2026,Oct,04,ASSAM,0424,BAKSA,799550,248.095382614863,24,121,620.750057677001,3832,0,12156,1268900,47791,7239,595630,73576,0,3768.832367677,51444,67366,100841,164383,10,158872,244598,15988,3148.08231,776375,89,64.46,71.19,100.33,NA
2025-2026,Oct,04,ASSAM,0433,BAJALI,404494,257.660560808599,47,24,170.711460925,1025,3,4990,366560,2473,1738,1925,1392,0,1115.192012625,7754,12085,34667,67607,43,66812,118972,6015,944.480551699999,165473,87,8.89,11.62,100.54,NA
2025-2026,Oct,04,ASSAM,0401,DHUBRI,1911448,243.976107432974,33,78,1293.309201462,4285,3,23189,1707688,12815,2500,759,287,0,5459.659910962,50422,77877,181771,336173,38,428626,717350,27474,4166.3507095,841062,77,17.61,30.78,100.18,NA
2025-2026,Oct,04,ASSAM,0413,NAGAON,2078924,244.119671881687,30,372,1921.443140359,6765,3,29361,2581965,91147,18444,44147,11291,12.09986,8236.627486459,85302,121661,237167,388999,93,458592,673397,36126,6303.0844861,1280852,88,15.33,26.44,100.58,NA
