# CSV-File created with merge-csv.com
# -----------------------------------------------------------

fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,02,ANDHRA PRADESH,0223,ANNAMAYYA,700410,266.364314481989,7,366,0,76,30,37650,301181,63890,66788,11320,12619,0,802.238706,38339,51535,196508,339961,0,252032,424521,37726,802.238706,176334,57,55.49,74.11,100,NA
2025-2026,April,02,ANDHRA PRADESH,0224,TIRUPATI,633272,294.611307244024,6,514,0,149,100,38262,277125,108416,149000,17763,31717,0,816.441585200001,41232,51680,215328,384901,0,274772,474633,38411,816.441585200001,186359,46,34.08,91.67,100,NA
2025-2026,April,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,1408521,257.157558542587,8,1823,0,128,5,49477,694409,86894,44331,288898,136710,0,1785.7252307,83067,120511,190394,369081,0,215469,406474,49605,1785.7252307,422596,77,49.25,82.1,100,NA
2025-2026,April,02,ANDHRA PRADESH,0226,KAKINADA,770942,258.748566531889,5,742,0,242,78,29441,191675,53672,90907,2362,8590,2,497.956314899999,32541,38400,198898,340772,0,294181,481257,29683,495.956314899999,100505,49,45.78,68.19,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,262.608263704574,5,84,0,6,12,5310,47849,3594,4261,391,468,0,125.655428100001,9414,11137,30941,49370,0,36380,55988,5316,125.655428100001,36753,56,6.26,93.45,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,245.619909546286,4,161,0,82,391,52063,76061,18782,136338,3442,29271,0,186.8209594,15690,19542,268043,469220,0,359026,607747,52145,186.8209594,48775,41,40.7,16.19,100,NA
2025-2026,April,02,ANDHRA PRADESH,0212,ANANTAPUR,1095336,236.074967980585,6,274,0,34,267,49112,93537,12627,93373,4518,17276,0,220.8174428,13775,21136,250317,471733,0,321948,598277,49146,220.8174428,52204,50,41.54,37.27,100,NA
2025-2026,April,02,ANDHRA PRADESH,0213,KURNOOL,839363,251.845504359575,4,262,0,60,179,47986,94734,21852,106147,1321,7536,5.15,243.733320099999,20080,29439,257094,504476,0,341698,649846,48046,238.583320099999,51872,40,53.12,12.46,100,NA
2025-2026,April,02,ANDHRA PRADESH,0215,ANAKAPALLI,1217190,280.435341060211,4,904,0,64,182,38677,266947,19792,34284,4611,16594,0.5,749.113729900001,57677,68589,231635,381378,0,289183,455894,38741,748.613729900001,195781,58,26.72,55.67,100,NA
2025-2026,April,02,ANDHRA PRADESH,0218,NTR,366507,256.963761378186,5,239,0,4,60,24519,85910,31382,120923,6217,23258,0,220.7575674,16375,21653,171999,318053,0,215041,387771,24523,220.7575674,50687,38,61.47,12.65,100,NA
2025-2026,April,02,ANDHRA PRADESH,0226,KAKINADA,770942,274.451218461084,4,228,0,210,180,29256,54298,14377,90771,627,8586,2,151.021522599999,12598,14459,198481,340056,0,294041,480983,29466,149.021522599999,26975,49,31.43,17.89,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,211.965769976892,5,90,0,6,12,5325,59281,4139,4257,456,468,0,125.655428100001,10088,11970,30962,49407,0,36389,56010,5331,125.655428100001,45554,56,7.55,98.38,100,NA
2025-2026,April,02,ANDHRA PRADESH,0206,KRISHNA,750506,191.746168308,9,938,0,146,43,36040,568339,236761,120064,8618,5617,0,1089.76825550001,61250,96281,175970,325439,0,220968,390992,36186,1089.76825550001,316484,25,87.59,91.61,100,NA
2025-2026,April,02,ANDHRA PRADESH,0211,Y.S.R,1024708,241.242894838432,6,625,0,98,85,39362,271991,55266,76442,2681,5247,0,656.158962100001,40359,55526,182287,341470,0,244653,449592,39460,656.158962100001,177827,39,38.12,87.95,100,NA
